Ano;Semestre;Concelho;Pedidos de Ligação à Rede Executados (#);CodConcelho
2024;2;Torres Vedras;1.0;1113
2024;2;Amarante;1.0;1301
2024;2;Gondomar;2.0;1304
2024;2;Alandroal;1.0;0701
2024;2;Anadia;5.0;0103
2024;2;Albergaria-a-Velha;5.0;0102
2024;2;Almeida;2.0;0902
2024;2;Óbidos;2.0;1012
2024;2;Lousã;6.0;0607
2024;2;Guarda;2.0;0907
2024;2;Marinha Grande;1.0;1010
2024;2;Vila Nova de Gaia;4.0;1317
2024;2;Seia;1.0;0912
2024;2;Moita;3.0;1506
2024;2;Arruda dos Vinhos;2.0;1102
2024;2;Covilhã;7.0;0503
2024;2;Coimbra;1.0;0603
2024;2;Loures;3.0;1107
2024;2;Guimarães;4.0;0308
2024;2;Espinho;1.0;0107
2024;2;Alvito;2.0;0203
2024;2;Faro;1.0;0805
2024;2;Cascais;16.0;1105
